niche_name,percent_female,percent_male,self_republican,self_democratic,self_indep,self_other,self_dont_care,school_very_liberal,school_liberal,school_moderate,school_conservative,school_very_conservative,school_libertarian,school_not_sure
University of Wisconsin,52%,48%,16%,48%,22%,n/a,13%,22%,52%,13%,3%,n/a,2%,8%
Tulane University,59%,41%,16%,43%,27%,6%,8%,11%,46%,25%,n/a,n/a,1%,16%
Florida State University,58%,42%,27%,31%,24%,4%,15%,5%,23%,34%,4%,1%,1%,32%
Howard University,70%,30%,3%,64%,17%,2%,15%,21%,39%,17%,2%,n/a,1%,21%
University of Illinois at Urbana-Champaign,46%,54%,13%,51%,13%,2%,22%,7%,30%,23%,5%,0%,1%,33%
University of Georgia,57%,43%,26%,34%,21%,4%,15%,2%,18%,32%,25%,2%,1%,21%
Syracuse University,54%,46%,7%,53%,23%,1%,15%,10%,29%,25%,3%,1%,2%,30%
The University of Alabama,55%,45%,38%,25%,17%,3%,18%,1%,3%,22%,31%,12%,1%,29%
West Virginia University,48%,52%,24%,29%,25%,6%,15%,2%,18%,30%,7%,1%,1%,40%
Penn State,47%,53%,24%,36%,19%,1%,19%,6%,20%,29%,5%,1%,1%,38%
University of Southern California,52%,48%,12%,45%,15%,7%,21%,5%,31%,32%,6%,1%,1%,23%
University of Iowa,54%,46%,21%,48%,12%,3%,17%,18%,42%,19%,2%,n/a,n/a,19%
Ohio University,54%,46%,19%,34%,27%,1%,19%,8%,36%,16%,4%,0%,1%,34%
Indiana University - Bloomington,50%,50%,12%,42%,21%,2%,23%,11%,40%,20%,4%,n/a,1%,23%
University of California - Santa Barbara,55%,45%,6%,51%,17%,6%,20%,19%,49%,14%,1%,0%,1%,16%
Miami University,50%,50%,35%,24%,23%,1%,17%,1%,9%,25%,38%,13%,n/a,15%
University of Texas - Austin,54%,46%,17%,35%,26%,2%,21%,13%,48%,18%,3%,1%,1%,15%
University of Mississippi,57%,43%,46%,17%,16%,6%,16%,2%,5%,28%,28%,16%,2%,20%
San Diego State University,55%,45%,17%,37%,22%,4%,20%,11%,33%,25%,2%,n/a,0%,28%
Michigan State University,51%,49%,16%,35%,19%,5%,25%,4%,26%,36%,4%,n/a,0%,29%
Southern Methodist University,49%,51%,51%,18%,5%,3%,23%,1%,7%,12%,39%,32%,3%,7%
University of Delaware,58%,42%,15%,48%,17%,1%,18%,6%,22%,32%,6%,n/a,1%,33%
Vanderbilt University,51%,49%,22%,40%,16%,9%,13%,5%,15%,45%,26%,2%,1%,6%
Clark Atlanta University,76%,24%,n/a,69%,7%,4%,20%,18%,15%,20%,11%,2%,1%,33%
University of Miami,52%,48%,23%,31%,19%,1%,27%,6%,34%,31%,4%,1%,1%,23%
The Ohio State University,49%,51%,20%,35%,21%,3%,21%,4%,32%,33%,6%,n/a,1%,24%
University of Colorado - Boulder,45%,55%,18%,37%,29%,4%,12%,26%,49%,11%,4%,n/a,1%,10%
Rutgers University - New Brunswick,50%,50%,9%,44%,13%,3%,30%,13%,36%,18%,1%,n/a,n/a,33%
University of Pennsylvania,53%,47%,8%,58%,17%,4%,13%,8%,48%,22%,6%,n/a,1%,15%
University of South Carolina,53%,47%,42%,22%,19%,2%,14%,2%,8%,36%,24%,4%,n/a,24%
Florida A&M University,65%,35%,3%,71%,12%,n/a,14%,13%,20%,28%,3%,1%,1%,33%
University of Florida,57%,43%,26%,31%,26%,n/a,17%,7%,30%,30%,7%,n/a,0%,26%
James Madison University,59%,41%,24%,30%,29%,5%,12%,4%,28%,37%,7%,n/a,n/a,23%
University of Michigan - Ann Arbor,50%,50%,13%,42%,25%,3%,17%,26%,47%,13%,1%,n/a,0%,12%
University of Virginia,54%,46%,29%,40%,19%,2%,11%,2%,29%,44%,9%,1%,2%,13%
University of Kansas,52%,48%,24%,27%,19%,6%,24%,10%,50%,18%,6%,2%,1%,13%
University of Dayton,48%,52%,29%,20%,16%,2%,33%,n/a,7%,27%,36%,3%,1%,27%
College of Charleston,65%,35%,25%,24%,29%,3%,19%,8%,33%,24%,13%,n/a,1%,22%
Washington State University,53%,47%,20%,38%,19%,2%,22%,7%,25%,27%,9%,1%,n/a,31%
University of Massachusetts - Amherst,49%,51%,4%,32%,37%,2%,24%,16%,51%,12%,1%,n/a,n/a,21%
University of Cincinnati,47%,53%,24%,32%,17%,11%,16%,6%,19%,29%,12%,1%,2%,31%
University of Missouri,53%,47%,19%,41%,15%,5%,20%,5%,26%,29%,11%,3%,1%,25%
University of Oklahoma,51%,49%,25%,32%,30%,4%,9%,4%,18%,35%,19%,3%,1%,20%
Lehigh University,46%,54%,18%,32%,18%,n/a,32%,n/a,15%,23%,29%,2%,4%,27%
University of Arkansas,54%,46%,31%,17%,26%,1%,25%,2%,12%,29%,15%,4%,n/a,37%
University at Albany SUNY,51%,49%,8%,45%,15%,1%,30%,9%,31%,17%,2%,n/a,n/a,40%
Western Michigan University,48%,52%,17%,32%,15%,4%,32%,8%,23%,26%,2%,1%,1%,39%
Morehouse College,0%,100%,n/a,48%,30%,4%,17%,19%,21%,26%,5%,2%,n/a,28%
