name,bestcolleges_party_school_rank
Tulane University,1
University of Delaware,2
University of Georgia,3
West Virginia University,4
University of Wisconsin Madison,5
Bucknell University,6
Lehigh University,7
University of Texas at Austin,8
Florida State University,9
University of California Santa Barbara,10
University of Iowa,11
University of Colorado,12
University of Illinois at Champaign/Urbana,13
Colgate University,14
Providence College,15
Indiana University at Bloomington,16
Syracuse University,17
University of Mississippi,18
University of Alabama,19
University of Maine,20
Southern Methodist University,21
University of Rhode Island,22
Pennsylvania State University,23
Michigan State University,24
University of Florida,25
