Name,Reopening Plan,Unnamed: 2
Western Governors University,Fully online,
Southern New Hampshire University,Fully online,
Liberty University,Primarily in person,
Lone Star College system,Fully online,
Ivy Tech Community College of Indiana,Primarily in person,
Texas A&M University at College Station,Primarily in person,
University of Central Florida,Primarily in person,
Ohio State University,Hybrid,
University of Maryland University College,Other,
Florida International University,Primarily online,
Houston Community College,Primarily online,
Miami Dade College,Other,
University of Florida,Primarily online,
New York University,Hybrid,
University of Texas at Austin,Hybrid,
Arizona State University,Hybrid,
Tarrant County College District,Primarily online,
Northern Virginia Community College,Primarily online,
University of Minnesota-Twin Cities,Primarily online,
Michigan State University,Fully online,
Rutgers University at New Brunswick,Primarily online,
University of Illinois at Urbana-Champaign,Hybrid,
University of Texas at Arlington,Hybrid,
University of Washington,Primarily online,
University of Southern California,Primarily online,
Pennsylvania State University at University Park,Hybrid,
University of Michigan at Ann Arbor,Hybrid,
Valencia College,Primarily online,
University of Houston,Primarily online,
University of California at Los Angeles,Primarily online,
Purdue University at West Lafayette,Primarily in person,
University of Arizona,Primarily online,
University of South Florida,Hybrid,
Indiana University at Bloomington,Primarily online,
University of Wisconsin at Madison,Primarily online,
University of California at Berkeley,Primarily online,
Brigham Young University-Idaho,Primarily online,
University of Maryland at College Park,Primarily online,
Florida State University,Primarily online,
Austin Community College,Primarily online,
Broward College,Primarily online,
California State University at Fullerton,Fully online,
California State University at Northridge,Primarily online,
Utah Valley University,Primarily online,
Temple University,Primarily online,
University of Georgia,Primarily in person,
Texas State University,Primarily in person,
Arizona State University-Skysong,Hybrid,
University of Alabama at Tuscaloosa,Primarily in person,
University of North Texas,Hybrid,
Texas Tech University,Primarily in person,
University of California at Davis,Primarily online,
University of California at San Diego,Primarily online,
University of Cincinnati,Hybrid,
California State University at Long Beach,Primarily online,
George Mason University,Hybrid,
University of Colorado at Boulder,Hybrid,
University of California at Irvine,Primarily online,
North Carolina State University,Fully online,
Kennesaw State University,Hybrid,
East Los Angeles College,Fully online,
San Jose State University,Primarily online,
San Diego State University,Primarily online,
Iowa State University,Primarily in person,
University of South Carolina at Columbia,Primarily in person,
Virginia Tech,Primarily in person,
Boston University,Hybrid,
Brigham Young University,Primarily in person,
Georgia State University,Hybrid,
College of Southern Nevada,Other,
Collin College,Primarily in person,
Colorado State University at Fort Collins,Primarily in person,
University of Utah,Primarily online,
Georgia Institute of Technology,Hybrid,
University of Texas at San Antonio,Hybrid,
San Jacinto College-Central Campus,Primarily online,
South Texas College,Hybrid,
California State University at Sacramento,Primarily online,
Palm Beach State College,Primarily online,
University of Illinois at Chicago,Primarily online,
University of Iowa,Primarily in person,
Harvard University,Fully online,
University at Buffalo,Hybrid,
Washington State University,Primarily online,
American River College,Primarily online,
Columbia University,Fully online,
Northern Arizona University,Primarily online,
Oregon State University,Primarily online,
Louisiana State University at Baton Rouge,Primarily online,
Virginia Commonwealth University,Primarily in person,
University of Massachusetts at Amherst,Primarily online,
Kaplan University at Davenport (Iowa),Fully online,
University of Nevada at Las Vegas,Primarily online,
Auburn University,Hybrid,
University of North Carolina at Chapel Hill,Fully online,
University of Missouri at Columbia,Primarily online,
San Francisco State University,Primarily online,
Florida Atlantic University,Primarily online,
University of North Carolina at Charlotte,Primarily online,
Indiana University-Purdue University at Indianapolis,Hybrid,
Mt. San Antonio College,Primarily online,
St. Petersburg College,Primarily online,
University of Kentucky,Primarily online,
Salt Lake Community College,Primarily online,
University of Tennessee at Knoxville,Hybrid,
El Paso Community College,Primarily online,
Santa Monica College,Fully online,
University of Texas at Dallas,Hybrid,
East Carolina University,Fully online,
University of Pittsburgh main campus,Primarily online,
University of Texas-Rio Grande Valley,Other,
University of Oklahoma at Norman,Primarily in person,
Ohio University,Primarily online,
Santa Ana College,Primarily online,
Weber State University,Hybrid,
George Washington University,Fully online,
Kent State University at Kent,Primarily online,
California State University at Los Angeles,Fully online,
Utah State University,Hybrid,
University of Arkansas at Fayetteville,Primarily online,
University of Kansas,Primarily in person,
University of Connecticut,Primarily online,
Columbus State Community College,Primarily online,
Portland Community College,Fully online,
Wayne State University,Primarily online,
University of Wisconsin at Milwaukee,Hybrid,
City College of San Francisco,Primarily online,
West Virginia University,Primarily online,
Pasadena City College,Primarily online,
California State Polytechnic University at Pomona,Fully online,
City University of New York Borough of Manhattan Community College,Primarily online,
Georgia Southern University,Primarily in person,
Stony Brook University,Primarily online,
Johns Hopkins University,Fully online,
Suffolk County Community College Central Administration,Primarily online,
University of California at Santa Barbara,Primarily online,
University of Pennsylvania,Fully online,
University of Nebraska at Lincoln,Primarily in person,
Portland State University,Primarily online,
University of Colorado at Denver,Primarily online,
Boise State University,Primarily in person,
University of Texas at El Paso,Primarily online,
California State University at Fresno,Primarily online,
Clemson University,Primarily online,
College of DuPageDuPage County? IL,Primarily online,
El Camino College,Primarily online,
Oklahoma State University at Stillwater,Primarily in person,
Grand Valley State University,Hybrid,
University of Virginia,Primarily online,
Drexel University,Fully online,
Bakersfield College,Primarily online,
Fresno City College,Primarily online,
University of New Mexico,Hybrid,
Old Dominion University,Primarily in person,
University of Delaware,Primarily online,
University of California at Riverside,Primarily online,
Palomar College,Primarily online,
Long Beach City College,Primarily online,
Missouri State University,Hybrid,
Cornell University,Hybrid,
Central New Mexico Community College,Primarily online,
Des Moines Area Community College,Primarily online,
Cuyahoga Community College,Primarily in person,
Florida State College at Jacksonville,Primarily online,
City University of New York Hunter College,Primarily online,
Hillsborough Community College,Primarily online,
Chaffey College,Primarily online,
Towson University,Primarily online,
Syracuse University,Hybrid,
University of Oregon,Primarily online,
Fullerton College,Fully online,
Western Michigan University,Primarily in person,
University of Mississippi,Hybrid,
DePaul UniversityCook County? IL,Fully online,
San Diego Mesa College,Primarily online,
Kansas State University,Primarily in person,
Northwestern University,Primarily online,
California Polytechnic State University at San Luis Obispo,Primarily online,
Mississippi State University,Hybrid,
University of Alabama at Birmingham,Primarily online,
Ball State University,Primarily in person,
Wake Technical Community College,Primarily online,
James Madison University,Fully online,
Cerritos College,Primarily online,
Montgomery College,Fully online,
St. John's University (NQueens County? NY,Hybrid,
Middle Tennessee State University,Hybrid,
Northeastern University,Hybrid,
Blinn College,Hybrid,
Central Michigan University,Hybrid,
University of Nevada at Reno,Hybrid,
University of Memphis,Primarily online,
University of Louisville,Primarily online,
Sacramento City College,Primarily online,
Riverside Community College District,Primarily online,
Sam Houston State University,Hybrid,
Orange Coast College,Primarily online,
Montclair State University,Primarily online,
Tidewater Community College,Primarily online,
College of the Canyons,Primarily online,
Illinois State UniversityMcLean County? IL,Primarily online,
Nova Southeastern University,Hybrid,
Mesa Community College,Primarily online,
Diablo Valley College,Primarily online,
California State University at San Bernardino,Primarily online,
University of Toledo,Primarily in person,
Macomb Community College,Primarily online,
Metropolitan State University of Denver,Hybrid,
University of North Carolina at Greensboro,Primarily online,
Richland College,Primarily online,
Santa Rosa Junior College,Primarily online,
Rio Hondo College,Fully online,
Miami University (Ohio),Primarily online,
City University of New York Queens College,Fully online,
University of North Georgia,Primarily online,
University of California at Santa Cruz,Primarily online,
Pima Community College,Primarily online,
Keiser University at Ft. Lauderdale,Primarily in person,
De Anza College,Primarily online,
Rowan University,Primarily in person,
Western Kentucky University,Primarily online,
Saddleback College,Primarily online,
Oakland University,Primarily online,
City University of New York La Guardia Community College,Primarily online,
Georgetown University,Fully online,
Eastern Michigan University,Primarily online,
Appalachian State University,Primarily online,
Ultimate Medical Academy at Clearwater,Fully online,
Front Range Community College,Primarily online,
Community College of Baltimore County,Primarily in person,
Central Piedmont Community College,Primarily online,
University of Akron,Primarily online,
Sinclair Community College,Primarily in person,
Southwestern College (Calif.),Primarily online,
Georgia State University,Hybrid,
Johnson County Community College,Primarily online,
Sierra College,Fully online,
Rio Salado College,Primarily online,
University of Massachusetts at Lowell,Primarily online,
San Joaquin Delta College,Primarily online,
City University of New York Brooklyn College,Primarily online,
Saint Louis Community College,Primarily online,
Seminole State College of Florida,Primarily online,
HACC Central Pennsylvania's Community College,Fully online,
City University of New York Bernard M. Baruch College,Primarily online,
University at Albany,Hybrid,
Glendale Community College (Ariz.),Primarily online,
Modesto Junior College,Fully online,
Grossmont College,Primarily online,
University of Rhode Island,Other,
Binghamton University,Primarily online,
University of Hawaii-Manoa,Primarily online,
Los Angeles Pierce College,Fully online,
California State University at Chico,Fully online,
San Antonio College,Primarily online,
Bowling Green State University Main Campus,Hybrid,
West Chester University of Pennsylvania,Fully online,
Vincennes University,Other,
Nassau Community College,Primarily online,
Stanford University,Primarily online,
University of Miami,Primarily in person,
City University of New York New York City College of Technology,Primarily online,
Baylor UniversityMcLennan County? TX,Hybrid,
Northern Illinois UniversityDeKalb County? IL,Primarily online,
University of Louisiana at Lafayette,Primarily in person,
Loyola University Chicago,Fully online,
University of Chicago,Hybrid,
Troy University,Hybrid,
National University,Fully online,
Montana State University at Bozeman,Primarily in person,
University of North Florida,Hybrid,
Eastfield College,Primarily online,
University of North Carolina at Wilmington,Primarily online,
California State University-Dominguez Hills,Primarily online,
Indian River State College,Hybrid,
Community College of Philadelphia,Fully online,
Duke University,Hybrid,
Florida SouthWestern State CollegeLee County? FL,Hybrid,
Fordham University,Hybrid,
Tulsa Community College,Primarily online,
Rochester Institute of Technology,Primarily in person,
