Name,Reopening Plan,
Western Governors UniversitySalt Lake County? UT,Fully online,
Southern New Hampshire UniversityMerrimack County? NH,Fully online,
Liberty UniversityLynchburg City? VA,Primarily in person,
Lone Star College systemMontgomery County? TX,Fully online,
Ivy Tech Community College of IndianaMarion County? IN,Primarily in person,
Texas A&M University at College StationBrazos County? TX,Primarily in person,
University of Central FloridaOrange County? FL,Primarily in person,
Ohio State UniversityFranklin County? OH,Hybrid,
University of Maryland University CollegePrince George's County? MD,Other,
Florida International UniversityMiami-Dade County? FL,Primarily online,
Houston Community CollegeHarris County? TX,Primarily online,
Miami Dade CollegeMiami-Dade County? FL,Other,
University of FloridaAlachua County? FL,Primarily online,
New York UniversityNew York County? NY,Hybrid,
University of Texas at AustinTravis County? TX,Hybrid,
Arizona State UniversityMaricopa County? AZ,Hybrid,
Tarrant County College DistrictTarrant County? TX,Primarily online,
Northern Virginia Community CollegeFairfax County? VA,Primarily online,
University of Minnesota-Twin CitiesHennepin County? MN,Primarily online,
Michigan State UniversityIngham County? MI,Fully online,
Rutgers University at New BrunswickMiddlesex County? NJ,Primarily online,
University of Illinois at Urbana-ChampaignChampaign County? IL,Hybrid,
University of Texas at ArlingtonTarrant County? TX,Hybrid,
University of WashingtonKing County? WA,Primarily online,
University of Southern CaliforniaLos Angeles County? CA,Primarily online,
Pennsylvania State University at University ParkCentre County? PA,Hybrid,
University of Michigan at Ann ArborWashtenaw County? MI,Hybrid,
Valencia CollegeOrange County? FL,Primarily online,
University of HoustonHarris County? TX,Primarily online,
University of California at Los AngelesLos Angeles County? CA,Primarily online,
Purdue University at West LafayetteTippecanoe County? IN,Primarily in person,
University of ArizonaPima County? AZ,Primarily online,
University of South FloridaHillsborough County? FL,Hybrid,
Indiana University at BloomingtonMonroe County? IN,Primarily online,
University of Wisconsin at MadisonDane County? WI,Primarily online,
University of California at BerkeleyAlameda County? CA,Primarily online,
Brigham Young University-IdahoMadison County? ID,Primarily online,
University of Maryland at College ParkPrince George's County? MD,Primarily online,
Florida State UniversityLeon County? FL,Primarily online,
Austin Community CollegeTravis County? TX,Primarily online,
Broward CollegeBroward County? FL,Primarily online,
California State University at FullertonOrange County? CA,Fully online,
California State University at NorthridgeLos Angeles County? CA,Primarily online,
Utah Valley UniversityUtah County? UT,Primarily online,
Temple UniversityPhiladelphia County? PA,Primarily online,
University of GeorgiaClarke County? GA,Primarily in person,
Texas State UniversityHays County? TX,Primarily in person,
Arizona State University-SkysongMaricopa County? AZ,Hybrid,
University of Alabama at TuscaloosaTuscaloosa County? AL,Primarily in person,
University of North TexasDenton County? TX,Hybrid,
Texas Tech UniversityLubbock County? TX,Primarily in person,
University of California at DavisYolo County? CA,Primarily online,
University of California at San DiegoSan Diego County? CA,Primarily online,
University of CincinnatiHamilton County? OH,Hybrid,
California State University at Long BeachLos Angeles County? CA,Primarily online,
George Mason UniversityFairfax County? VA,Hybrid,
University of Colorado at BoulderBoulder County? CO,Hybrid,
University of California at IrvineOrange County? CA,Primarily online,
North Carolina State UniversityWake County? NC,Fully online,
Kennesaw State UniversityCobb County? GA,Hybrid,
East Los Angeles CollegeLos Angeles County? CA,Fully online,
San Jose State UniversitySanta Clara County? CA,Primarily online,
San Diego State UniversitySan Diego County? CA,Primarily online,
Iowa State UniversityStory County? IA,Primarily in person,
University of South Carolina at ColumbiaRichland County? SC,Primarily in person,
Virginia TechMontgomery County? VA,Primarily in person,
Boston UniversitySuffolk County? MA,Hybrid,
Brigham Young UniversityUtah County? UT,Primarily in person,
Georgia State UniversityFulton County? GA,Hybrid,
College of Southern NevadaClark County? NV,Other,
Collin CollegeCollin County? TX,Primarily in person,
Colorado State University at Fort CollinsLarimer County? CO,Primarily in person,
University of UtahSalt Lake County? UT,Primarily online,
Georgia Institute of TechnologyFulton County? GA,Hybrid,
University of Texas at San AntonioBexar County? TX,Hybrid,
San Jacinto College-Central CampusHarris County? TX,Primarily online,
South Texas CollegeHidalgo County? TX,Hybrid,
California State University at SacramentoSacramento County? CA,Primarily online,
Palm Beach State CollegePalm Beach County? FL,Primarily online,
University of Illinois at ChicagoCook County? IL,Primarily online,
University of IowaJohnson County? IA,Primarily in person,
Harvard UniversityMiddlesex County? MA,Fully online,
University at BuffaloErie County? NY,Hybrid,
Washington State UniversityWhitman County? WA,Primarily online,
American River CollegeSacramento County? CA,Primarily online,
Columbia UniversityNew York County? NY,Fully online,
Northern Arizona UniversityCoconino County? AZ,Primarily online,
Oregon State UniversityBenton County? OR,Primarily online,
Louisiana State University at Baton RougeEast Baton Rouge Parish? LA,Primarily online,
Virginia Commonwealth UniversityRichmond City? VA,Primarily in person,
University of Massachusetts at AmherstHampshire County? MA,Primarily online,
Kaplan University at Davenport (Iowa)Scott County? IA,Fully online,
University of Nevada at Las VegasClark County? NV,Primarily online,
Auburn UniversityLee County? AL,Hybrid,
University of North Carolina at Chapel HillOrange County? NC,Fully online,
University of Missouri at ColumbiaBoone County? MO,Primarily online,
San Francisco State UniversitySan Francisco County? CA,Primarily online,
Florida Atlantic UniversityPalm Beach County? FL,Primarily online,
University of North Carolina at CharlotteMecklenburg County? NC,Primarily online,
Indiana University-Purdue University at IndianapolisMarion County? IN,Hybrid,
Mt. San Antonio CollegeLos Angeles County? CA,Primarily online,
St. Petersburg CollegePinellas County? FL,Primarily online,
University of KentuckyFayette County? KY,Primarily online,
Salt Lake Community CollegeSalt Lake County? UT,Primarily online,
University of Tennessee at KnoxvilleKnox County? TN,Hybrid,
El Paso Community CollegeEl Paso County? TX,Primarily online,
Santa Monica CollegeLos Angeles County? CA,Fully online,
University of Texas at DallasDallas County? TX,Hybrid,
East Carolina UniversityPitt County? NC,Fully online,
University of Pittsburgh main campusAllegheny County? PA,Primarily online,
University of Texas-Rio Grande ValleyHidalgo County? TX,Other,
University of Oklahoma at NormanCleveland County? OK,Primarily in person,
Ohio UniversityAthens County? OH,Primarily online,
Santa Ana CollegeOrange County? CA,Primarily online,
Weber State UniversityWeber County? UT,Hybrid,
George Washington UniversityDistrict of Columbia? DC,Fully online,
Kent State University at KentPortage County? OH,Primarily online,
California State University at Los AngelesLos Angeles County? CA,Fully online,
Utah State UniversityCache County? UT,Hybrid,
University of Arkansas at FayettevilleWashington County? AR,Primarily online,
University of KansasDouglas County? KS,Primarily in person,
University of ConnecticutTolland County? CT,Primarily online,
Columbus State Community CollegeFranklin County? OH,Primarily online,
Portland Community CollegeMultnomah County? OR,Fully online,
Wayne State UniversityWayne County? MI,Primarily online,
University of Wisconsin at MilwaukeeMilwaukee County? WI,Hybrid,
City College of San FranciscoSan Francisco County? CA,Primarily online,
West Virginia UniversityMonongalia County? WV,Primarily online,
Pasadena City CollegeLos Angeles County? CA,Primarily online,
California State Polytechnic University at PomonaLos Angeles County? CA,Fully online,
City University of New York Borough of Manhattan Community CollegeNew York County? NY,Primarily online,
Georgia Southern UniversityBulloch County? GA,Primarily in person,
Stony Brook UniversitySuffolk County? NY,Primarily online,
Johns Hopkins UniversityBaltimore City? MD,Fully online,
Suffolk County Community College Central AdministrationSuffolk County? NY,Primarily online,
