INSTNM,UGDS,REGION,LOCALE,CCSIZSET,ADM_RATE,TUITFTE
Southern New Hampshire University,80170,1,12,15,0.7282,10259
University of Central Florida,58392,5,21,15,0.4253,5494
Grand Canyon University,53209,6,11,15,0.732,11035
Texas A & M University-College Station,53194,6,12,16,0.6762,10997
Ohio State University-Main Campus,45769,3,11,16,0.5197,15164
Liberty University,45370,5,13,15,0.5554,11262
Arizona State University-Tempe,42529,6,12,16,0.8478,20364
Florida International University,41777,5,21,15,0.5856,5881
The University of Texas at Austin,40329,6,11,15,0.3852,10873
Pennsylvania State University-Main Campus,40108,2,13,16,0.5649,29309
Michigan State University,39208,3,13,16,0.7768,19137
Brigham Young University-Idaho,37636,7,32,15,0.9717,2402
University of Houston,37291,6,11,15,0.6234,10236
Rutgers University-New Brunswick,35656,2,13,16,0.6011,14088
California State University-Northridge,34911,8,11,15,0.5063,4673
California State University-Fullerton,34637,8,21,15,0.4341,5172
University of Florida,34564,5,12,16,0.3875,8054
Texas State University,34187,6,23,15,0.4554,8302
The University of Texas at Arlington,34024,6,11,16,0.7952,7513
University of Arizona,33509,6,11,15,0.8442,15599
Purdue University-Main Campus,33495,3,13,16,0.5798,16369
Indiana University-Bloomington,32991,3,13,16,0.7691,18261
University of Illinois at Urbana-Champaign,32974,3,13,17,0.6216,14691
The University of Alabama,32177,5,12,16,0.5906,14198
Florida State University,32072,5,12,15,0.3678,5766
University of California-Los Angeles,31568,8,11,17,0.1404,18278
Kennesaw State University,31511,5,21,15,0.5794,6413
California State University-Long Beach,31503,8,11,15,0.3121,4721
University of Minnesota-Twin Cities,31451,4,11,15,0.5187,13669
Brigham Young University-Provo,31441,7,12,15,0.6447,5991
University of North Texas,31375,6,12,15,0.7105,9589
University of South Florida-Main Campus,31321,5,11,15,0.4263,6658
University of Washington-Seattle Campus,30905,8,11,16,0.4869,17912
University of California-Berkeley,30845,8,12,16,0.1484,22027
Texas Tech University,30795,6,11,16,0.7067,9360
University of California-Davis,30698,8,23,15,0.4107,18270
University of Wisconsin-Madison,30360,3,11,16,0.5173,13471
University of California-San Diego,30279,8,11,16,0.3006,17532
University of Maryland-College Park,30184,2,21,16,0.4716,14839
University of Michigan-Ann Arbor,30079,3,12,16,0.2283,24489
San Diego State University,30018,8,11,15,0.3458,6737
University of Colorado Boulder,29753,7,12,16,0.8154,20468
University of California-Irvine,29722,8,11,16,0.2876,15954
Arizona State University-Skysong,29636,6,12,15,0.6829,3050
University of Georgia,29474,5,12,16,0.4863,12020
Iowa State University,29248,4,13,16,0.9059999999999999,10827
Temple University,28965,2,11,15,0.5851,22861
California State University-Sacramento,28439,8,11,15,0.6386,4931
Virginia Polytechnic Institute and State University,27730,5,13,16,0.6485,14364
The University of Texas at San Antonio,27380,6,11,15,0.7903,7826
San Jose State University,27125,8,11,15,0.5466,6385
Northern Arizona University,26647,6,13,16,0.8262,7767
Georgia State University,26489,5,11,15,0.7137,7597
New York University,26339,2,11,17,0.1999,36731
University of South Carolina-Columbia,26300,5,12,16,0.6306,13541
University of Cincinnati-Main Campus,25973,3,11,16,0.7312,12985
San Francisco State University,25799,8,11,15,0.7176,5482
Washington State University,25675,8,32,16,0.7719,9648
George Mason University,25508,5,21,16,0.8106,12367
California State Polytechnic University-Pomona,24841,8,21,15,0.5515,4699
Oregon State University,24787,8,13,15,0.8063,12147
University of Nevada-Las Vegas,24707,8,12,15,0.8204,7211
The University of Texas Rio Grande Valley,24596,6,13,15,0.8104,3765
Colorado State University-Fort Collins,24210,7,12,16,0.8387,15368
California State University-Los Angeles,24163,8,11,15,0.4152,3656
Auburn University,24147,5,13,15,0.7543,15908
University of North Carolina at Charlotte,23939,5,11,16,0.6683,8263
North Carolina State University at Raleigh,23708,5,11,16,0.4685,10797
Louisiana State University and Agricultural & Mechanical College,23468,5,12,15,0.7423,12076
University of Iowa,23410,4,13,16,0.8267,14547
University of Utah,23396,7,12,15,0.6686,12004
Florida Atlantic University,23265,5,13,15,0.5932,6183
University of Massachusetts-Amherst,23202,1,21,17,0.5992,13157
University of Arkansas,23121,5,13,16,0.7747,9627
University of California-Santa Barbara,23063,8,22,16,0.322,15451
The University of Tennessee-Knoxville,22653,5,12,16,0.7778,11969
Virginia Commonwealth University,22497,5,12,15,0.8625,12367
East Carolina University,22330,5,13,16,0.8220000000000001,7523
Georgia Southern University,22239,5,32,16,0.6767,6003
Ohio University-Main Campus,22072,3,32,16,0.7829999999999999,11399
University of Missouri-Columbia,22030,4,12,15,0.7784,11515
Kent State University at Kent,21793,3,21,16,0.8535,9849
University of Kentucky,21746,5,11,16,0.9448,12780
